527,4,High,Middle,Low
2,2,31,3,2
0,0,5,4,2
14,4,60,9,2
34,1,55,4,1
17,3,42,11,2
6,4,19,9,2
18,6,20,8,2
1,1,26,10,2
52,9,62,17,1
2,2,2,2,2
45,4,47,6,2
21,6,37,15,2
2,2,11,9,2
53,8,70,15,2
10,8,16,14,1
25,6,54,13,2
11,8,33,21,2
36,8,109,13,2
20,8,24,11,1
2,1,3,2,1
4,4,14,6,0
0,0,0,0,1
7,4,7,4,0
0,0,0,0,0
3,3,11,5,0
0,0,0,0,2
15,2,17,3,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7,2,10,4,0
36,1,42,2,0
59,1,59,1,0
63,1,64,2,0
53,3,63,6,0
38,4,65,9,0
28,1,55,5,0
57,3,59,5,0
42,6,48,8,0
45,2,48,3,0
31,2,42,8,0
44,3,58,7,0
48,2,56,5,0
30,4,45,6,0
0,0,25,13,0
43,3,89,10,2
56,5,63,10,1
22,2,54,6,0
38,3,63,9,1
43,4,70,12,2
50,4,85,7,2
47,3,62,6,0
9,3,33,9,0
39,2,60,4,1
28,6,39,10,1
26,4,52,10,0
27,3,35,5,0
47,3,65,7,0
53,3,60,6,1
78,4,94,8,2
63,3,80,6,1
84,6,114,12,2
61,3,73,6,1
54,4,70,7,2
33,2,66,4,1
57,4,84,6,1
68,4,79,6,1
66,3,80,5,1
46,3,59,7,2
27,4,119,6,2
44,2,74,4,1
55,5,70,7,2
45,3,64,7,1
44,3,53,5,2
3,1,91,7,2
33,2,77,6,1
0,0,0,0,1
33,2,62,10,1
4,3,20,6,2
12,1,69,10,2
17,2,36,7,0
7,2,26,7,2
34,3,70,7,1
25,1,37,4,2
2,2,6,6,2
36,1,78,6,1
19,5,29,9,1
21,4,27,8,1
20,1,36,7,1
5,2,14,5,0
9,5,9,5,0
3,2,4,3,2
49,4,66,7,0
28,4,46,8,1
5,4,16,8,0
61,6,66,7,1
0,0,0,0,0
0,0,2,1,2
15,3,15,3,2
22,3,59,7,2
34,3,42,5,0
2,2,2,2,0
17,2,19,3,1
17,1,18,2,2
2,1,77,7,2
39,2,91,7,2
4,2,50,5,2
17,3,39,8,2
41,5,99,9,2
11,1,72,4,1
19,1,77,5,1
35,3,80,6,2
4,2,24,5,1
18,1,75,5,1
2,2,44,7,2
34,3,70,5,1
18,3,60,5,0
0,0,61,1,1
21,4,43,9,2
8,2,31,4,0
34,4,56,7,1
0,0,0,0,0
19,3,21,5,0
37,4,39,5,0
0,0,9,3,0
6,2,6,2,0
5,2,5,2,0
0,0,0,0,1
30,4,35,5,0
66,8,117,11,2
29,2,30,3,0
0,0,0,0,0
0,0,0,0,0
31,2,37,3,0
33,2,56,7,0
65,2,70,4,0
44,3,70,7,1
23,1,38,4,0
40,2,65,5,1
40,2,65,5,1
23,1,80,3,1
61,2,74,4,1
1,1,3,2,1
43,2,75,5,1
58,2,68,6,1
17,1,65,6,0
68,3,72,4,1
61,2,65,5,1
38,4,46,6,0
42,2,57,6,0
23,2,54,5,0
32,4,43,6,1
8,1,51,6,0
4,3,11,7,0
7,1,40,2,2
0,0,0,0,2
6,2,16,4,0
14,2,18,3,0
25,1,25,1,1
11,1,19,5,1
8,2,47,3,2
0,0,7,2,0
0,0,19,1,0
24,4,38,6,0
0,0,0,0,0
25,4,36,6,0
26,2,51,8,0
32,4,57,8,2
0,0,0,0,2
6,1,38,8,1
14,2,47,9,0
23,6,33,10,1
50,4,58,7,1
19,3,19,3,1
8,4,80,19,2
21,5,41,11,0
15,3,28,5,1
29,5,50,9,1
11,1,17,3,2
46,2,110,8,2
40,2,53,6,2
33,1,35,2,1
54,3,61,4,2
46,3,64,9,2
42,2,81,4,2
1,1,1,1,1
18,3,66,16,1
20,3,46,7,1
58,4,72,6,2
25,1,28,2,1
1,1,11,5,1
1,1,2,2,0
7,2,12,4,1
1,1,1,1,1
11,2,15,3,2
53,5,67,8,0
30,5,58,9,2
59,5,68,6,1
25,4,59,11,2
10,2,16,4,2
78,5,78,5,1
22,4,50,10,1
54,4,67,7,0
3,3,4,4,1
8,1,8,1,2
41,3,58,5,0
0,0,2,1,1
40,4,67,8,1
13,3,18,5,1
