EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
0,0,67,5,2,S01_01_Movie_CANData
46,4,67,9,1,S01_01_NoNDRT_CANData
35,2,58,7,1,S01_01_conversation_CANData
33,3,53,8,1,S01_01_drink_CANData
4,1,80,12,2,S01_01_texting_CANData
0,0,25,10,1,S01_02_Movie_CANData
102,5,143,10,2,S01_02_NoNDRT_CANData
17,2,46,5,0,S01_02_conversation_CANData
22,1,51,6,0,S01_02_drink_CANData
1,1,1,1,2,S01_02_texting_CANData
0,0,127,6,2,S01_03_Movie_CANData
10,2,36,5,0,S01_03_NoNDRT_CANData
18,2,33,5,0,S01_03_conversation_CANData
45,3,52,5,0,S01_03_drink_CANData
20,1,38,5,2,S01_03_texting_CANData
28,2,66,5,0,S02_01_Movie_CANData
26,3,55,5,0,S02_01_NoNDRT_CANData
56,2,83,5,1,S02_01_conversation_CANData
46,3,63,6,2,S02_01_drink_CANData
29,2,30,3,1,S02_01_texting_CANData
30,5,59,25,1,S02_02_Movie_CANData
57,2,64,5,1,S02_02_NoNDRT_CANData
31,7,49,10,1,S02_02_conversation_CANData
43,5,46,8,2,S02_02_drink_CANData
20,6,21,7,2,S02_02_texting_CANData
1,1,46,4,2,S02_03_Movie_CANData
41,4,42,5,0,S02_03_NoNDRT_CANData
20,3,34,5,1,S02_03_conversation_CANData
1,1,46,4,2,S02_03_drink_CANData
10,2,10,2,2,S02_03_texting_CANData
24,2,70,6,1,S03_01_Movie_CANData
20,2,66,8,1,S03_01_NoNDRT_CANData
2,2,3,3,0,S03_01_conversation_CANData
15,3,68,7,1,S03_01_drink_CANData
18,1,58,5,0,S03_01_texting_CANData
3,1,91,4,2,S03_02_Movie_CANData
22,1,72,3,1,S03_02_NoNDRT_CANData
2,1,3,2,2,S03_02_conversation_CANData
13,2,77,7,1,S03_02_drink_CANData
6,1,66,5,1,S03_02_texting_CANData
22,3,69,7,2,S03_03_Movie_CANData
27,1,75,3,1,S03_03_NoNDRT_CANData
16,3,42,7,1,S03_03_conversation_CANData
18,1,71,4,1,S03_03_drink_CANData
8,1,51,6,1,S03_03_texting_CANData
3,2,7,4,1,S04_01_Movie_CANData
30,9,39,15,1,S04_01_NoNDRT_CANData
8,2,62,11,1,S04_01_drink_CANData
38,5,98,16,2,S04_01_texting_CANData
10,4,47,10,1,S04_02_Movie_CANData
26,2,47,3,0,S04_02_NoNDRT_CANData
25,1,59,2,0,S04_02_conversation_CANData
4,2,4,2,0,S04_02_drink_CANData
12,1,32,2,0,S04_02_texting_CANData
0,0,12,8,2,S04_03_Movie_CANData
0,0,0,0,0,S04_03_NoNDRT_CANData
0,0,0,0,1,S04_03_conversation_CANData
4,3,5,4,0,S04_03_drink_CANData
6,3,12,7,1,S04_03_texting_CANData
10,3,62,8,0,S05_01_Movie_CANData
27,2,55,4,0,S05_01_NoNDRT_CANData
44,4,102,9,2,S05_01_drink_CANData
38,6,62,9,0,S05_01_texting_CANData
24,2,93,5,2,S05_02_Movie_CANData
11,2,31,4,0,S05_02_conversation_CANData
19,2,36,4,0,S05_02_drink_CANData
22,3,46,6,0,S05_02_texting_CANData
18,1,102,11,2,S05_03_Movie_CANData
41,2,64,3,0,S05_03_NoNDRT_CANData
24,2,40,4,0,S05_03_conversation_CANData
32,5,51,8,0,S05_03_drink_CANData
43,1,43,1,0,S05_03_texting_CANData
42,6,70,8,1,S06_01_Movie_CANData
32,6,70,9,1,S06_01_NoNDRT_CANData
13,3,39,5,0,S06_01_conversation_CANData
24,5,48,6,0,S06_01_drink_CANData
19,4,42,7,0,S06_02_Movie_CANData
14,2,35,4,0,S06_02_conversation_CANData
30,6,35,7,0,S06_02_drink_CANData
17,2,27,3,0,S06_02_texting_CANData
10,1,17,2,2,S06_03_Movie_CANData
23,4,53,6,0,S06_03_NoNDRT_CANData
24,3,53,8,0,S06_03_conversation_CANData
22,3,48,5,0,S06_03_drink_CANData
29,2,76,6,1,S07_01_Movie_CANData
39,4,75,10,1,S07_01_NoNDRT_CANData
41,3,69,6,0,S07_01_conversation_CANData
42,3,60,5,0,S07_01_drink_CANData
31,4,57,6,0,S07_01_texting_CANData
31,2,94,4,2,S07_02_Movie_CANData
47,2,64,4,0,S07_02_NoNDRT_CANData
51,4,66,7,0,S07_02_conversation_CANData
71,3,89,6,2,S07_02_drink_CANData
55,3,75,5,1,S07_02_texting_CANData
18,3,94,7,2,S07_03_Movie_CANData
53,2,67,4,0,S07_03_NoNDRT_CANData
66,3,80,4,1,S07_03_conversation_CANData
37,3,56,5,0,S07_03_drink_CANData
47,2,61,4,0,S07_03_texting_CANData
9,5,74,16,2,S08_01_Movie_CANData
25,5,72,11,1,S08_01_NoNDRT_CANData
35,3,54,6,2,S08_01_conversation_CANData
38,4,72,7,1,S08_01_drink_CANData
0,0,40,6,1,S08_01_texting_CANData
18,1,75,12,2,S08_02_Movie_CANData
45,3,71,6,1,S08_02_NoNDRT_CANData
17,4,50,11,1,S08_02_conversation_CANData
25,5,49,10,1,S08_02_drink_CANData
42,3,74,11,2,S08_02_texting_CANData
28,4,63,10,2,S08_03_Movie_CANData
52,4,68,6,0,S08_03_NoNDRT_CANData
38,3,68,4,1,S08_03_conversation_CANData
27,4,56,7,1,S08_03_drink_CANData
47,3,83,9,2,S08_03_texting_CANData
0,0,71,2,1,S09_01_Movie_CANData
37,3,60,6,2,S09_01_NoNDRT_CANData
3,2,10,3,2,S09_01_conversation_CANData
27,4,68,9,2,S09_01_drink_CANData
8,2,15,4,2,S09_01_texting_CANData
6,1,23,4,1,S09_02_Movie_CANData
13,3,58,9,1,S09_02_NoNDRT_CANData
