EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
94,11,167,16,2,S10_02_Movie_CANData
28,6,34,8,0,S10_02_NoNDRT_CANData
73,7,100,12,0,S10_02_conversation_CANData
132,9,140,11,2,S10_02_drink_CANData
88,6,138,16,2,S10_02_texting_CANData
76,6,174,12,2,S10_03_Movie_CANData
100,8,146,14,0,S10_03_NoNDRT_CANData
30,4,50,7,0,S10_03_conversation_CANData
49,5,83,9,0,S10_03_drink_CANData
40,4,44,8,0,S10_03_texting_CANData
34,2,170,10,1,S11_01_Movie_CANData
60,7,161,20,1,S11_01_NoNDRT_CANData
84,5,158,14,1,S11_01_conversation_CANData
98,12,160,18,2,S11_01_drink_CANData
56,4,70,8,2,S11_01_texting_CANData
40,2,172,4,1,S11_02_Movie_CANData
169,5,175,7,1,S11_02_NoNDRT_CANData
76,9,118,13,0,S11_02_conversation_CANData
85,9,143,17,2,S11_02_drink_CANData
4,2,4,2,2,S11_02_texting_CANData
4,2,6,4,2,S11_03_Movie_CANData
152,5,178,11,1,S11_03_NoNDRT_CANData
30,4,34,6,0,S11_03_conversation_CANData
35,4,35,4,2,S11_03_drink_CANData
72,2,74,4,2,S11_03_texting_CANData
72,9,72,9,0,S12_01_NoNDRT_CANData
43,5,51,11,1,S12_01_conversation_CANData
84,6,86,8,2,S12_01_drink_CANData
18,2,28,4,2,S12_01_texting_CANData
32,2,32,2,2,S12_02_Movie_CANData
54,5,56,7,1,S12_02_NoNDRT_CANData
32,7,33,8,2,S12_02_conversation_CANData
61,4,61,4,2,S12_02_drink_CANData
14,4,16,6,2,S12_02_texting_CANData
56,5,57,6,2,S12_03_Movie_CANData
130,8,130,8,2,S12_03_NoNDRT_CANData
13,7,13,7,1,S12_03_conversation_CANData
35,3,35,3,2,S12_03_drink_CANData
20,4,20,4,2,S12_03_texting_CANData
54,4,266,12,2,S13_01_Movie_CANData
76,6,176,14,1,S13_01_NoNDRT_CANData
36,4,78,14,2,S13_01_conversation_CANData
0,0,58,14,2,S13_01_drink_CANData
34,4,54,12,2,S13_01_texting_CANData
15,5,95,11,1,S13_02_Movie_CANData
40,2,151,17,0,S13_02_NoNDRT_CANData
15,1,23,9,1,S13_02_conversation_CANData
14,2,56,10,2,S13_02_drink_CANData
2,2,8,4,2,S13_02_texting_CANData
42,4,208,10,2,S13_03_Movie_CANData
54,10,87,16,1,S13_03_NoNDRT_CANData
107,10,167,18,1,S13_03_conversation_CANData
0,0,0,0,2,S13_03_drink_CANData
4,4,56,10,2,S13_03_texting_CANData
38,4,40,6,2,S14_01_Movie_CANData
53,15,91,23,0,S14_01_NoNDRT_CANData
84,4,114,10,1,S14_01_conversation_CANData
62,4,70,8,0,S14_01_drink_CANData
32,10,38,14,0,S14_01_texting_CANData
24,4,26,6,0,S14_02_Movie_CANData
98,7,116,15,0,S14_02_NoNDRT_CANData
84,13,90,19,0,S14_02_conversation_CANData
44,6,48,10,0,S14_02_drink_CANData
46,4,68,12,0,S14_02_texting_CANData
40,4,63,10,2,S14_03_Movie_CANData
66,12,82,18,0,S14_03_NoNDRT_CANData
37,7,57,11,0,S14_03_conversation_CANData
31,3,39,5,0,S14_03_drink_CANData
24,8,26,10,0,S14_03_texting_CANData
68,4,202,16,2,S15_01_Movie_CANData
130,5,172,13,1,S15_01_NoNDRT_CANData
44,4,53,9,2,S15_01_conversation_CANData
50,2,130,11,0,S15_01_drink_CANData
57,6,139,12,2,S15_01_texting_CANData
34,4,134,14,0,S15_02_Movie_CANData
59,3,122,13,0,S15_02_NoNDRT_CANData
126,6,156,16,1,S15_02_conversation_CANData
79,5,145,13,1,S15_02_drink_CANData
58,3,102,8,1,S15_02_texting_CANData
38,4,192,10,2,S15_03_Movie_CANData
146,8,168,12,1,S15_03_NoNDRT_CANData
50,14,60,18,1,S15_03_conversation_CANData
66,6,137,15,0,S15_03_drink_CANData
52,4,112,10,0,S15_03_texting_CANData
86,4,194,13,2,S16_01_Movie_CANData
131,4,159,12,1,S16_01_NoNDRT_CANData
96,10,156,18,2,S16_01_conversation_CANData
82,6,120,14,2,S16_01_drink_CANData
74,10,146,22,2,S16_01_texting_CANData
