EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
0,0,335,25,2,S01_01_Movie_CANData
360,28,493,60,1,S01_01_NoNDRT_CANData
216,13,435,42,1,S01_01_conversation_CANData
220,20,417,49,1,S01_01_drink_CANData
20,5,480,64,2,S01_01_texting_CANData
0,0,149,56,1,S01_02_Movie_CANData
661,31,871,57,2,S01_02_NoNDRT_CANData
113,14,294,47,0,S01_02_conversation_CANData
178,10,326,38,0,S01_02_drink_CANData
5,5,5,5,2,S01_02_texting_CANData
0,0,635,30,2,S01_03_Movie_CANData
50,10,260,25,0,S01_03_NoNDRT_CANData
106,18,185,33,0,S01_03_conversation_CANData
290,18,325,28,0,S01_03_drink_CANData
100,5,198,33,2,S01_03_texting_CANData
140,10,517,31,0,S02_01_Movie_CANData
182,18,464,34,0,S02_01_NoNDRT_CANData
284,10,441,39,1,S02_01_conversation_CANData
422,17,507,32,2,S02_01_drink_CANData
151,16,200,50,1,S02_01_texting_CANData
150,25,403,185,1,S02_02_Movie_CANData
413,14,508,37,1,S02_02_NoNDRT_CANData
222,46,368,65,1,S02_02_conversation_CANData
304,30,340,59,2,S02_02_drink_CANData
101,31,106,36,2,S02_02_texting_CANData
5,5,375,27,2,S02_03_Movie_CANData
387,26,392,31,0,S02_03_NoNDRT_CANData
206,26,279,39,1,S02_03_conversation_CANData
5,5,375,27,2,S02_03_drink_CANData
66,22,89,45,2,S02_03_texting_CANData
160,17,550,44,1,S03_01_Movie_CANData
155,15,522,45,1,S03_01_NoNDRT_CANData
10,10,19,19,0,S03_01_conversation_CANData
105,18,385,50,1,S03_01_drink_CANData
108,8,388,35,0,S03_01_texting_CANData
19,9,608,32,2,S03_02_Movie_CANData
170,17,457,35,1,S03_02_NoNDRT_CANData
10,5,15,10,2,S03_02_conversation_CANData
112,19,527,53,1,S03_02_drink_CANData
39,8,395,32,1,S03_02_texting_CANData
110,15,425,43,2,S03_03_Movie_CANData
199,12,516,28,1,S03_03_NoNDRT_CANData
80,15,218,39,1,S03_03_conversation_CANData
90,5,416,40,1,S03_03_drink_CANData
55,6,296,35,1,S03_03_texting_CANData
15,10,48,33,1,S04_01_Movie_CANData
229,58,326,104,1,S04_01_NoNDRT_CANData
40,10,330,55,1,S04_01_drink_CANData
190,25,514,84,2,S04_01_texting_CANData
99,33,323,66,1,S04_02_Movie_CANData
183,24,392,53,0,S04_02_NoNDRT_CANData
167,17,435,41,0,S04_02_conversation_CANData
20,10,20,10,0,S04_02_drink_CANData
62,7,222,19,0,S04_02_texting_CANData
64,4,143,54,2,S04_03_Movie_CANData
0,0,0,0,0,S04_03_NoNDRT_CANData
1,1,5,5,1,S04_03_conversation_CANData
103,18,165,34,0,S04_03_drink_CANData
68,19,133,46,1,S04_03_texting_CANData
100,17,496,46,0,S05_01_Movie_CANData
303,13,475,27,0,S05_01_NoNDRT_CANData
308,25,684,56,2,S05_01_drink_CANData
230,37,355,57,0,S05_01_texting_CANData
120,10,665,25,2,S05_02_Movie_CANData
219,17,343,30,0,S05_02_conversation_CANData
194,14,342,34,0,S05_02_drink_CANData
137,18,257,33,0,S05_02_texting_CANData
90,5,647,87,2,S05_03_Movie_CANData
332,15,475,40,0,S05_03_NoNDRT_CANData
222,19,344,35,0,S05_03_conversation_CANData
196,25,311,52,0,S05_03_drink_CANData
227,8,227,8,0,S05_03_texting_CANData
219,33,476,61,1,S06_01_Movie_CANData
213,34,540,55,1,S06_01_NoNDRT_CANData
77,19,243,37,0,S06_01_conversation_CANData
168,36,309,53,0,S06_01_drink_CANData
110,23,241,42,0,S06_02_Movie_CANData
74,14,179,24,0,S06_02_conversation_CANData
193,41,270,50,0,S06_02_drink_CANData
85,10,135,15,0,S06_02_texting_CANData
50,5,85,10,2,S06_03_Movie_CANData
176,35,410,59,0,S06_03_NoNDRT_CANData
147,26,299,58,0,S06_03_conversation_CANData
168,26,375,48,0,S06_03_drink_CANData
275,16,563,40,1,S07_01_Movie_CANData
314,31,556,65,1,S07_01_NoNDRT_CANData
272,21,504,42,0,S07_01_conversation_CANData
308,26,427,41,0,S07_01_drink_CANData
180,25,435,46,0,S07_01_texting_CANData
201,12,655,27,2,S07_02_Movie_CANData
305,18,493,36,0,S07_02_NoNDRT_CANData
263,22,526,44,0,S07_02_conversation_CANData
372,22,503,41,2,S07_02_drink_CANData
331,18,464,31,1,S07_02_texting_CANData
155,18,664,39,2,S07_03_Movie_CANData
278,13,425,27,0,S07_03_NoNDRT_CANData
433,22,572,43,1,S07_03_conversation_CANData
268,17,423,31,0,S07_03_drink_CANData
235,10,385,22,0,S07_03_texting_CANData
51,29,427,105,2,S08_01_Movie_CANData
263,33,535,65,1,S08_01_NoNDRT_CANData
196,26,293,43,2,S08_01_conversation_CANData
224,24,438,60,1,S08_01_drink_CANData
0,0,208,38,1,S08_01_texting_CANData
90,5,464,99,2,S08_02_Movie_CANData
404,23,534,38,1,S08_02_NoNDRT_CANData
165,25,334,64,1,S08_02_conversation_CANData
138,28,268,59,1,S08_02_drink_CANData
210,15,372,56,2,S08_02_texting_CANData
140,20,363,68,2,S08_03_Movie_CANData
448,23,528,33,0,S08_03_NoNDRT_CANData
248,25,401,33,1,S08_03_conversation_CANData
175,25,437,44,1,S08_03_drink_CANData
235,15,422,52,2,S08_03_texting_CANData
0,0,535,19,1,S09_01_Movie_CANData
318,22,433,37,2,S09_01_NoNDRT_CANData
69,19,140,31,2,S09_01_conversation_CANData
335,20,540,45,2,S09_01_drink_CANData
98,12,178,35,2,S09_01_texting_CANData
30,5,115,20,1,S09_02_Movie_CANData
248,19,473,49,1,S09_02_NoNDRT_CANData
86,20,269,70,1,S09_02_conversation_CANData
214,6,424,11,2,S09_02_drink_CANData
20,5,130,25,2,S09_02_texting_CANData
0,0,80,17,2,S09_03_Movie_CANData
73,4,302,33,0,S09_03_NoNDRT_CANData
7,7,132,12,1,S09_03_conversation_CANData
166,30,365,57,1,S09_03_drink_CANData
60,10,99,24,2,S09_03_texting_CANData
344,25,591,46,2,S10_01_Movie_CANData
570,32,620,41,2,S10_01_NoNDRT_CANData
290,32,491,48,2,S10_01_conversation_CANData
407,35,427,40,2,S10_01_drink_CANData
683,36,819,57,2,S10_01_texting_CANData
355,35,539,49,2,S10_02_Movie_CANData
70,15,85,20,0,S10_02_NoNDRT_CANData
224,30,299,44,0,S10_02_conversation_CANData
350,26,370,31,2,S10_02_drink_CANData
227,17,355,45,2,S10_02_texting_CANData
190,15,435,30,2,S10_03_Movie_CANData
397,20,512,35,0,S10_03_NoNDRT_CANData
144,15,260,31,0,S10_03_conversation_CANData
133,19,225,30,0,S10_03_drink_CANData
100,10,127,21,0,S10_03_texting_CANData
85,5,575,25,1,S11_01_Movie_CANData
280,23,534,57,1,S11_01_NoNDRT_CANData
236,19,453,52,1,S11_01_conversation_CANData
346,34,530,51,2,S11_01_drink_CANData
140,10,175,20,2,S11_01_texting_CANData
100,5,560,17,1,S11_02_Movie_CANData
556,18,571,23,1,S11_02_NoNDRT_CANData
253,33,360,45,0,S11_02_conversation_CANData
308,26,453,46,2,S11_02_drink_CANData
10,5,10,5,2,S11_02_texting_CANData
10,5,15,10,2,S11_03_Movie_CANData
475,18,566,35,1,S11_03_NoNDRT_CANData
81,12,93,19,0,S11_03_conversation_CANData
160,15,160,15,2,S11_03_drink_CANData
180,5,185,10,2,S11_03_texting_CANData
285,34,285,34,0,S12_01_NoNDRT_CANData
200,22,220,37,1,S12_01_conversation_CANData
318,22,323,27,2,S12_01_drink_CANData
45,5,70,10,2,S12_01_texting_CANData
83,6,84,7,2,S12_02_Movie_CANData
279,15,284,20,1,S12_02_NoNDRT_CANData
156,32,160,36,2,S12_02_conversation_CANData
227,16,227,16,2,S12_02_drink_CANData
35,10,40,15,2,S12_02_texting_CANData
188,14,192,18,2,S12_03_Movie_CANData
475,20,475,20,2,S12_03_NoNDRT_CANData
50,33,50,33,1,S12_03_conversation_CANData
172,17,174,19,2,S12_03_drink_CANData
50,10,50,10,2,S12_03_texting_CANData
135,10,792,31,2,S13_01_Movie_CANData
328,21,581,44,1,S13_01_NoNDRT_CANData
121,17,274,46,2,S13_01_conversation_CANData
0,0,145,35,2,S13_01_drink_CANData
95,12,145,32,2,S13_01_texting_CANData
81,17,327,38,1,S13_02_Movie_CANData
183,10,507,52,0,S13_02_NoNDRT_CANData
97,7,167,30,1,S13_02_conversation_CANData
36,6,174,26,2,S13_02_drink_CANData
5,5,29,16,2,S13_02_texting_CANData
105,10,636,27,2,S13_03_Movie_CANData
229,30,352,48,1,S13_03_NoNDRT_CANData
354,41,504,61,1,S13_03_conversation_CANData
0,0,0,0,2,S13_03_drink_CANData
10,10,140,25,2,S13_03_texting_CANData
95,10,100,15,2,S14_01_Movie_CANData
261,46,356,66,0,S14_01_NoNDRT_CANData
249,10,329,30,1,S14_01_conversation_CANData
225,16,265,30,0,S14_01_drink_CANData
80,25,95,35,0,S14_01_texting_CANData
60,10,65,15,0,S14_02_Movie_CANData
332,24,394,51,0,S14_02_NoNDRT_CANData
265,44,280,59,0,S14_02_conversation_CANData
112,17,124,29,0,S14_02_drink_CANData
115,10,173,33,0,S14_02_texting_CANData
157,14,255,39,2,S14_03_Movie_CANData
269,37,315,55,0,S14_03_NoNDRT_CANData
117,21,167,31,0,S14_03_conversation_CANData
86,10,106,15,0,S14_03_drink_CANData
60,20,66,26,0,S14_03_texting_CANData
170,10,643,45,2,S15_01_Movie_CANData
471,15,576,35,1,S15_01_NoNDRT_CANData
125,20,170,49,2,S15_01_conversation_CANData
186,11,455,41,0,S15_01_drink_CANData
193,17,398,32,2,S15_01_texting_CANData
85,10,485,35,0,S15_02_Movie_CANData
255,13,439,48,0,S15_02_NoNDRT_CANData
371,18,446,43,1,S15_02_conversation_CANData
273,16,449,37,1,S15_02_drink_CANData
196,9,327,23,1,S15_02_texting_CANData
95,10,616,27,2,S15_03_Movie_CANData
511,21,566,31,1,S15_03_NoNDRT_CANData
164,43,194,56,1,S15_03_conversation_CANData
202,18,437,47,0,S15_03_drink_CANData
130,10,280,25,0,S15_03_texting_CANData
249,12,628,38,2,S16_01_Movie_CANData
416,14,543,41,1,S16_01_NoNDRT_CANData
250,26,404,47,2,S16_01_conversation_CANData
295,21,397,42,2,S16_01_drink_CANData
242,25,422,55,2,S16_01_texting_CANData
15,10,15,10,0,S16_02_Movie_CANData
247,17,499,31,0,S16_02_NoNDRT_CANData
319,15,601,55,1,S16_02_conversation_CANData
232,22,419,49,1,S16_02_drink_CANData
219,32,339,52,2,S16_02_texting_CANData
243,27,413,58,2,S16_03_Movie_CANData
368,20,512,48,0,S16_03_NoNDRT_CANData
75,5,110,10,0,S16_03_conversation_CANData
262,28,447,47,2,S16_03_drink_CANData
108,35,211,58,2,S16_03_texting_CANData
390,19,572,51,1,S17_01_Movie_CANData
423,22,588,52,1,S17_01_NoNDRT_CANData
405,15,560,40,1,S17_01_conversation_CANData
286,15,508,37,0,S17_01_drink_CANData
184,25,389,40,1,S17_01_texting_CANData
305,15,496,35,0,S17_02_Movie_CANData
344,16,544,31,1,S17_02_NoNDRT_CANData
273,8,347,34,1,S17_02_conversation_CANData
194,29,532,66,1,S17_02_drink_CANData
152,32,342,82,2,S17_02_texting_CANData
521,15,632,21,2,S17_03_Movie_CANData
381,24,487,35,0,S17_03_NoNDRT_CANData
382,19,559,40,1,S17_03_conversation_CANData
211,20,501,45,0,S17_03_drink_CANData
77,18,297,69,0,S17_03_texting_CANData
40,5,298,108,1,S18_01_Movie_CANData
416,34,494,52,1,S18_01_NoNDRT_CANData
120,15,285,40,2,S18_01_conversation_CANData
247,34,314,53,2,S18_01_drink_CANData
85,5,110,20,2,S18_01_texting_CANData
0,0,302,35,1,S18_02_Movie_CANData
206,19,473,30,1,S18_02_NoNDRT_CANData
100,13,220,23,1,S18_02_conversation_CANData
102,18,505,49,1,S18_02_drink_CANData
65,15,180,35,2,S18_02_texting_CANData
191,20,423,37,0,S18_03_NoNDRT_CANData
0,0,98,18,0,S18_03_conversation_CANData
0,0,373,32,0,S18_03_drink_CANData
0,0,265,80,2,S18_03_texting_CANData
237,22,655,59,2,S19_01_Movie_CANData
557,25,772,45,2,S19_01_NoNDRT_CANData
287,28,397,48,2,S19_01_conversation_CANData
387,22,535,45,1,S19_01_drink_CANData
185,20,334,46,2,S19_01_texting_CANData
150,25,580,60,2,S19_02_Movie_CANData
233,18,422,51,0,S19_02_NoNDRT_CANData
259,16,475,41,1,S19_02_conversation_CANData
405,15,560,45,2,S19_02_drink_CANData
308,24,447,53,2,S19_02_texting_CANData
150,10,710,25,2,S19_03_Movie_CANData
263,16,467,33,0,S19_03_NoNDRT_CANData
377,17,583,34,1,S19_03_conversation_CANData
312,14,569,38,2,S19_03_drink_CANData
131,14,295,43,2,S19_03_texting_CANData
85,20,469,39,1,S20_01_Movie_CANData
342,23,427,43,0,S20_01_NoNDRT_CANData
256,17,306,37,0,S20_01_conversation_CANData
55,5,95,10,0,S20_01_drink_CANData
209,17,279,37,0,S20_01_texting_CANData
95,15,614,54,2,S20_02_Movie_CANData
361,24,450,43,0,S20_02_NoNDRT_CANData
221,16,313,31,0,S20_02_conversation_CANData
485,23,555,43,1,S20_02_drink_CANData
150,10,265,35,0,S20_02_texting_CANData
175,15,637,60,2,S20_03_Movie_CANData
315,16,370,31,0,S20_03_NoNDRT_CANData
141,6,212,20,0,S20_03_conversation_CANData
250,16,358,31,0,S20_03_drink_CANData
85,15,180,35,0,S20_03_texting_CANData
50,5,65,15,2,S21_01_Movie_CANData
432,18,467,48,1,S21_01_NoNDRT_CANData
282,30,352,50,0,S21_01_conversation_CANData
275,31,365,62,1,S21_01_drink_CANData
101,19,136,41,1,S21_01_texting_CANData
50,10,100,45,0,S21_02_Movie_CANData
288,36,361,64,0,S21_02_NoNDRT_CANData
307,34,329,56,0,S21_02_conversation_CANData
115,10,122,17,0,S21_02_drink_CANData
