EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
0,0,483,37,2,S01_01_Movie_CANData
626,42,819,88,1,S01_01_NoNDRT_CANData
316,19,637,60,1,S01_01_conversation_CANData
412,32,705,73,1,S01_01_drink_CANData
28,7,680,90,2,S01_01_texting_CANData
0,0,215,80,1,S01_02_Movie_CANData
1006,50,1326,88,2,S01_02_NoNDRT_CANData
161,20,422,71,0,S01_02_conversation_CANData
332,21,540,61,0,S01_02_drink_CANData
7,7,7,7,2,S01_02_texting_CANData
0,0,889,42,2,S01_03_Movie_CANData
70,14,372,35,0,S01_03_NoNDRT_CANData
151,27,262,48,0,S01_03_conversation_CANData
446,30,495,44,0,S01_03_drink_CANData
140,7,278,47,2,S01_03_texting_CANData
196,14,845,51,0,S02_01_Movie_CANData
285,27,784,51,0,S02_01_NoNDRT_CANData
405,16,628,59,1,S02_01_conversation_CANData
713,26,832,47,2,S02_01_drink_CANData
214,25,293,79,1,S02_01_texting_CANData
210,35,645,295,1,S02_02_Movie_CANData
703,22,842,55,1,S02_02_NoNDRT_CANData
343,67,553,94,1,S02_02_conversation_CANData
463,47,521,92,2,S02_02_drink_CANData
145,46,161,62,2,S02_02_texting_CANData
7,7,659,39,2,S02_03_Movie_CANData
677,38,684,45,0,S02_03_NoNDRT_CANData
308,40,413,61,1,S02_03_conversation_CANData
7,7,659,39,2,S02_03_drink_CANData
98,35,137,74,2,S02_03_texting_CANData
230,25,905,65,1,S03_01_Movie_CANData
329,23,866,65,1,S03_01_NoNDRT_CANData
14,14,27,27,0,S03_01_conversation_CANData
159,26,572,85,1,S03_01_drink_CANData
156,12,562,51,0,S03_01_texting_CANData
54,17,964,53,2,S03_02_Movie_CANData
286,27,751,57,1,S03_02_NoNDRT_CANData
14,7,21,14,2,S03_02_conversation_CANData
186,31,785,81,1,S03_02_drink_CANData
57,12,567,46,1,S03_02_texting_CANData
173,22,715,64,2,S03_03_Movie_CANData
348,20,820,49,1,S03_03_NoNDRT_CANData
112,21,306,55,1,S03_03_conversation_CANData
128,8,639,76,1,S03_03_drink_CANData
112,12,463,55,1,S03_03_texting_CANData
23,16,76,54,1,S04_01_Movie_CANData
389,90,532,158,1,S04_01_NoNDRT_CANData
56,14,464,77,1,S04_01_drink_CANData
266,35,722,118,2,S04_01_texting_CANData
149,52,475,102,1,S04_02_Movie_CANData
289,41,630,104,0,S04_02_NoNDRT_CANData
256,30,672,70,0,S04_02_conversation_CANData
28,14,28,14,0,S04_02_drink_CANData
