EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
0,0,268,20,2,S01_01_Movie_CANData
257,21,360,46,1,S01_01_NoNDRT_CANData
166,10,334,33,1,S01_01_conversation_CANData
150,15,299,38,1,S01_01_drink_CANData
16,4,380,51,2,S01_01_texting_CANData
0,0,116,44,1,S01_02_Movie_CANData
506,23,670,43,2,S01_02_NoNDRT_CANData
89,11,231,36,0,S01_02_conversation_CANData
122,6,240,28,0,S01_02_drink_CANData
4,4,4,4,2,S01_02_texting_CANData
0,0,508,24,2,S01_03_Movie_CANData
40,8,204,20,0,S01_03_NoNDRT_CANData
84,14,147,26,0,S01_03_conversation_CANData
213,13,241,21,0,S01_03_drink_CANData
80,4,158,26,2,S01_03_texting_CANData
112,8,382,22,0,S02_01_Movie_CANData
136,14,334,26,0,S02_01_NoNDRT_CANData
227,8,351,30,1,S02_01_conversation_CANData
300,13,368,25,2,S02_01_drink_CANData
120,12,154,36,1,S02_01_texting_CANData
120,20,298,134,1,S02_02_Movie_CANData
294,11,367,29,1,S02_02_NoNDRT_CANData
169,36,283,51,1,S02_02_conversation_CANData
225,22,250,43,2,S02_02_drink_CANData
80,24,84,28,2,S02_02_texting_CANData
4,4,263,21,2,S02_03_Movie_CANData
272,20,276,24,0,S02_03_NoNDRT_CANData
155,19,213,29,1,S02_03_conversation_CANData
4,4,263,21,2,S02_03_drink_CANData
52,17,68,33,2,S02_03_texting_CANData
125,13,400,34,1,S03_01_Movie_CANData
98,11,380,35,1,S03_01_NoNDRT_CANData
8,8,15,15,0,S03_01_conversation_CANData
78,14,299,37,1,S03_01_drink_CANData
84,6,301,27,0,S03_01_texting_CANData
14,6,458,23,2,S03_02_Movie_CANData
117,12,335,25,1,S03_02_NoNDRT_CANData
8,4,12,8,2,S03_02_conversation_CANData
81,13,404,39,1,S03_02_drink_CANData
30,6,309,25,1,S03_02_texting_CANData
88,12,310,33,2,S03_03_Movie_CANData
151,9,392,19,1,S03_03_NoNDRT_CANData
64,12,174,31,1,S03_03_conversation_CANData
72,4,318,30,1,S03_03_drink_CANData
32,4,218,26,1,S03_03_texting_CANData
12,8,37,25,1,S04_01_Movie_CANData
165,44,240,80,1,S04_01_NoNDRT_CANData
32,8,263,44,1,S04_01_drink_CANData
152,20,410,67,2,S04_01_texting_CANData
76,25,253,51,1,S04_02_Movie_CANData
139,16,286,32,0,S04_02_NoNDRT_CANData
129,11,323,27,0,S04_02_conversation_CANData
16,8,16,8,0,S04_02_drink_CANData
49,5,165,13,0,S04_02_texting_CANData
46,3,106,41,2,S04_03_Movie_CANData
0,0,0,0,0,S04_03_NoNDRT_CANData
0,0,3,3,1,S04_03_conversation_CANData
54,14,99,25,0,S04_03_drink_CANData
52,15,102,36,1,S04_03_texting_CANData
60,13,362,35,0,S05_01_Movie_CANData
206,10,340,21,0,S05_01_NoNDRT_CANData
232,19,517,43,2,S05_01_drink_CANData
179,29,278,44,0,S05_01_texting_CANData
96,8,492,20,2,S05_02_Movie_CANData
139,13,235,23,0,S05_02_conversation_CANData
127,10,240,25,0,S05_02_drink_CANData
106,14,202,26,0,S05_02_texting_CANData
72,4,493,64,2,S05_03_Movie_CANData
236,10,348,28,0,S05_03_NoNDRT_CANData
162,13,257,25,0,S05_03_conversation_CANData
155,20,246,41,0,S05_03_drink_CANData
180,6,180,6,0,S05_03_texting_CANData
174,26,345,47,1,S06_01_Movie_CANData
147,25,397,41,1,S06_01_NoNDRT_CANData
61,15,192,29,0,S06_01_conversation_CANData
121,26,226,37,0,S06_01_drink_CANData
86,18,190,33,0,S06_02_Movie_CANData
