EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
0,0,409,31,2,S01_01_Movie_CANData
483,35,646,74,1,S01_01_NoNDRT_CANData
266,16,536,51,1,S01_01_conversation_CANData
306,26,551,61,1,S01_01_drink_CANData
24,6,580,77,2,S01_01_texting_CANData
0,0,182,68,1,S01_02_Movie_CANData
827,40,1092,72,2,S01_02_NoNDRT_CANData
137,17,358,59,0,S01_02_conversation_CANData
254,15,432,49,0,S01_02_drink_CANData
6,6,6,6,2,S01_02_texting_CANData
0,0,762,36,2,S01_03_Movie_CANData
60,12,316,30,0,S01_03_NoNDRT_CANData
128,22,223,40,0,S01_03_conversation_CANData
368,24,410,36,0,S01_03_drink_CANData
120,6,238,40,2,S01_03_texting_CANData
168,12,671,41,0,S02_01_Movie_CANData
228,22,614,42,0,S02_01_NoNDRT_CANData
341,12,531,48,1,S02_01_conversation_CANData
558,21,660,39,2,S02_01_drink_CANData
182,20,246,64,1,S02_01_texting_CANData
180,30,519,239,1,S02_02_Movie_CANData
548,18,665,46,1,S02_02_NoNDRT_CANData
275,56,453,79,1,S02_02_conversation_CANData
383,38,430,75,2,S02_02_drink_CANData
122,38,132,48,2,S02_02_texting_CANData
6,6,507,33,2,S02_03_Movie_CANData
522,32,528,38,0,S02_03_NoNDRT_CANData
257,33,346,50,1,S02_03_conversation_CANData
6,6,507,33,2,S02_03_drink_CANData
81,28,112,59,2,S02_03_texting_CANData
195,21,720,54,1,S03_01_Movie_CANData
232,19,684,55,1,S03_01_NoNDRT_CANData
12,12,23,23,0,S03_01_conversation_CANData
132,22,475,66,1,S03_01_drink_CANData
132,10,475,43,0,S03_01_texting_CANData
33,13,778,42,2,S03_02_Movie_CANData
228,22,594,46,1,S03_02_NoNDRT_CANData
12,6,18,12,2,S03_02_conversation_CANData
149,25,656,67,1,S03_02_drink_CANData
48,10,481,39,1,S03_02_texting_CANData
132,18,560,53,2,S03_03_Movie_CANData
266,16,660,38,1,S03_03_NoNDRT_CANData
96,18,262,47,1,S03_03_conversation_CANData
108,6,525,57,1,S03_03_drink_CANData
80,9,376,45,1,S03_03_texting_CANData
18,12,60,42,1,S04_01_Movie_CANData
308,74,428,131,1,S04_01_NoNDRT_CANData
48,12,397,66,1,S04_01_drink_CANData
228,30,618,101,2,S04_01_texting_CANData
122,41,395,82,1,S04_02_Movie_CANData
227,32,502,78,0,S04_02_NoNDRT_CANData
211,23,553,55,0,S04_02_conversation_CANData
24,12,24,12,0,S04_02_drink_CANData
75,9,279,25,0,S04_02_texting_CANData
82,5,183,70,2,S04_03_Movie_CANData
1,1,1,1,0,S04_03_NoNDRT_CANData
2,2,7,7,1,S04_03_conversation_CANData
168,23,248,45,0,S04_03_drink_CANData
84,23,164,56,1,S04_03_texting_CANData
140,21,650,57,0,S05_01_Movie_CANData
418,16,628,33,0,S05_01_NoNDRT_CANData
389,32,863,71,2,S05_01_drink_CANData
281,45,432,70,0,S05_01_texting_CANData
144,12,858,30,2,S05_02_Movie_CANData
307,23,459,39,0,S05_02_conversation_CANData
281,18,464,43,0,S05_02_drink_CANData
168,22,312,40,0,S05_02_texting_CANData
108,6,816,112,2,S05_03_Movie_CANData
448,20,622,52,0,S05_03_NoNDRT_CANData
286,26,435,46,0,S05_03_conversation_CANData
237,30,376,63,0,S05_03_drink_CANData
274,10,274,10,0,S05_03_texting_CANData
264,40,627,75,1,S06_01_Movie_CANData
298,43,703,70,1,S06_01_NoNDRT_CANData
93,23,294,45,0,S06_01_conversation_CANData
218,48,410,71,0,S06_01_drink_CANData
134,28,292,51,0,S06_02_Movie_CANData
89,17,215,29,0,S06_02_conversation_CANData
265,54,364,65,0,S06_02_drink_CANData
102,12,162,18,0,S06_02_texting_CANData
60,6,102,12,2,S06_03_Movie_CANData
227,45,533,77,0,S06_03_NoNDRT_CANData
179,33,362,72,0,S06_03_conversation_CANData
217,33,472,61,0,S06_03_drink_CANData
350,20,732,50,1,S07_01_Movie_CANData
417,40,719,82,1,S07_01_NoNDRT_CANData
339,28,650,55,0,S07_01_conversation_CANData
395,35,543,55,0,S07_01_drink_CANData
221,32,559,64,0,S07_01_texting_CANData
284,16,843,35,2,S07_02_Movie_CANData
379,23,648,48,0,S07_02_NoNDRT_CANData
318,27,689,55,0,S07_02_conversation_CANData
452,28,614,51,2,S07_02_drink_CANData
409,23,573,39,1,S07_02_texting_CANData
202,22,854,48,2,S07_03_Movie_CANData
355,17,536,34,0,S07_03_NoNDRT_CANData
550,28,733,55,1,S07_03_conversation_CANData
356,22,551,40,0,S07_03_drink_CANData
282,12,475,27,0,S07_03_texting_CANData
65,37,540,136,2,S08_01_Movie_CANData
357,42,699,82,1,S08_01_NoNDRT_CANData
256,37,373,58,2,S08_01_conversation_CANData
295,32,564,79,1,S08_01_drink_CANData
0,0,250,46,1,S08_01_texting_CANData
108,6,580,129,2,S08_02_Movie_CANData
541,29,697,47,1,S08_02_NoNDRT_CANData
209,32,413,80,1,S08_02_conversation_CANData
173,35,338,78,1,S08_02_drink_CANData
252,18,450,69,2,S08_02_texting_CANData
168,24,461,85,2,S08_03_Movie_CANData
596,28,692,40,0,S08_03_NoNDRT_CANData
341,33,525,43,1,S08_03_conversation_CANData
227,31,578,55,1,S08_03_drink_CANData
282,18,507,63,2,S08_03_texting_CANData
0,0,674,28,1,S09_01_Movie_CANData
438,27,576,45,2,S09_01_NoNDRT_CANData
94,27,192,44,2,S09_01_conversation_CANData
462,24,708,54,2,S09_01_drink_CANData
151,15,256,46,2,S09_01_texting_CANData
36,6,145,25,1,S09_02_Movie_CANData
351,24,621,60,1,S09_02_NoNDRT_CANData
120,25,349,87,1,S09_02_conversation_CANData
312,8,564,14,2,S09_02_drink_CANData
24,6,156,30,2,S09_02_texting_CANData
0,0,98,22,2,S09_03_Movie_CANData
93,5,388,41,0,S09_03_NoNDRT_CANData
10,10,160,16,1,S09_03_conversation_CANData
241,37,493,70,1,S09_03_drink_CANData
89,13,136,30,2,S09_03_texting_CANData
435,31,764,57,2,S10_01_Movie_CANData
729,41,792,52,2,S10_01_NoNDRT_CANData
382,42,624,62,2,S10_01_conversation_CANData
521,44,545,50,2,S10_01_drink_CANData
842,45,1006,71,2,S10_01_texting_CANData
476,44,697,61,2,S10_02_Movie_CANData
84,18,102,24,0,S10_02_NoNDRT_CANData
292,40,384,58,0,S10_02_conversation_CANData
443,34,467,40,2,S10_02_drink_CANData
277,22,431,56,2,S10_02_texting_CANData
241,20,535,38,2,S10_03_Movie_CANData
533,25,671,43,0,S10_03_NoNDRT_CANData
201,20,364,41,0,S10_03_conversation_CANData
173,27,289,41,0,S10_03_drink_CANData
131,13,181,27,0,S10_03_texting_CANData
102,6,750,30,1,S11_01_Movie_CANData
386,30,691,71,1,S11_01_NoNDRT_CANData
307,26,576,69,1,S11_01_conversation_CANData
440,42,670,63,2,S11_01_drink_CANData
168,12,210,24,2,S11_01_texting_CANData
120,6,728,22,1,S11_02_Movie_CANData
723,23,741,29,1,S11_02_NoNDRT_CANData
330,44,459,59,0,S11_02_conversation_CANData
385,32,559,56,2,S11_02_drink_CANData
12,6,12,6,2,S11_02_texting_CANData
12,6,18,12,2,S11_03_Movie_CANData
613,24,730,45,1,S11_03_NoNDRT_CANData
117,17,132,26,0,S11_03_conversation_CANData
208,20,208,20,2,S11_03_drink_CANData
216,6,222,12,2,S11_03_texting_CANData
386,44,386,44,0,S12_01_NoNDRT_CANData
274,29,298,47,1,S12_01_conversation_CANData
416,29,422,35,2,S12_01_drink_CANData
54,6,84,12,2,S12_01_texting_CANData
108,8,110,10,2,S12_02_Movie_CANData
392,19,398,25,1,S12_02_NoNDRT_CANData
224,42,229,47,2,S12_02_conversation_CANData
289,21,289,21,2,S12_02_drink_CANData
42,12,48,18,2,S12_02_texting_CANData
241,19,246,24,2,S12_03_Movie_CANData
627,25,627,25,2,S12_03_NoNDRT_CANData
75,47,75,47,1,S12_03_conversation_CANData
227,22,231,26,2,S12_03_drink_CANData
60,12,60,12,2,S12_03_texting_CANData
162,12,974,38,2,S13_01_Movie_CANData
452,26,756,54,1,S13_01_NoNDRT_CANData
175,23,374,59,2,S13_01_conversation_CANData
0,0,174,42,2,S13_01_drink_CANData
