EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
0,0,201,15,2,S01_01_Movie_CANData
173,15,246,33,1,S01_01_NoNDRT_CANData
116,7,233,24,1,S01_01_conversation_CANData
100,10,201,27,1,S01_01_drink_CANData
12,3,280,38,2,S01_01_texting_CANData
0,0,83,32,1,S01_02_Movie_CANData
358,16,481,31,2,S01_02_NoNDRT_CANData
65,8,168,25,0,S01_02_conversation_CANData
75,4,163,20,0,S01_02_drink_CANData
3,3,3,3,2,S01_02_texting_CANData
0,0,381,18,2,S01_03_Movie_CANData
30,6,148,15,0,S01_03_NoNDRT_CANData
62,10,109,19,0,S01_03_conversation_CANData
147,9,168,15,0,S01_03_drink_CANData
60,3,118,19,2,S01_03_texting_CANData
84,6,257,16,0,S02_01_Movie_CANData
90,10,224,18,0,S02_01_NoNDRT_CANData
170,6,261,21,1,S02_01_conversation_CANData
198,9,249,18,2,S02_01_drink_CANData
89,8,109,23,1,S02_01_texting_CANData
90,15,205,91,1,S02_02_Movie_CANData
195,8,246,21,1,S02_02_NoNDRT_CANData
116,26,198,37,1,S02_02_conversation_CANData
161,15,175,28,2,S02_02_drink_CANData
60,18,63,21,2,S02_02_texting_CANData
3,3,171,15,2,S02_03_Movie_CANData
177,14,180,17,0,S02_03_NoNDRT_CANData
104,12,147,19,1,S02_03_conversation_CANData
3,3,171,15,2,S02_03_drink_CANData
38,12,47,21,2,S02_03_texting_CANData
90,9,270,24,1,S03_01_Movie_CANData
61,7,258,25,1,S03_01_NoNDRT_CANData
6,6,11,11,0,S03_01_conversation_CANData
51,10,214,25,1,S03_01_drink_CANData
60,4,214,19,0,S03_01_texting_CANData
9,3,328,14,2,S03_02_Movie_CANData
79,8,233,16,1,S03_02_NoNDRT_CANData
6,3,9,6,2,S03_02_conversation_CANData
54,9,285,27,1,S03_02_drink_CANData
21,4,223,18,1,S03_02_texting_CANData
66,9,215,23,2,S03_03_Movie_CANData
103,6,279,13,1,S03_03_NoNDRT_CANData
48,9,130,23,1,S03_03_conversation_CANData
54,3,227,21,1,S03_03_drink_CANData
24,3,160,19,1,S03_03_texting_CANData
9,6,26,17,1,S04_01_Movie_CANData
110,31,163,57,1,S04_01_NoNDRT_CANData
24,6,196,33,1,S04_01_drink_CANData
114,15,306,50,2,S04_01_texting_CANData
53,17,183,36,1,S04_02_Movie_CANData
96,9,194,17,0,S04_02_NoNDRT_CANData
92,6,225,15,0,S04_02_conversation_CANData
12,6,12,6,0,S04_02_drink_CANData
36,3,108,7,0,S04_02_texting_CANData
28,2,72,30,2,S04_03_Movie_CANData
0,0,0,0,0,S04_03_NoNDRT_CANData
0,0,2,2,1,S04_03_conversation_CANData
21,10,50,17,0,S04_03_drink_CANData
36,11,71,26,1,S04_03_texting_CANData
30,9,243,25,0,S05_01_Movie_CANData
129,7,225,15,0,S05_01_NoNDRT_CANData
165,13,359,30,2,S05_01_drink_CANData
128,21,201,31,0,S05_01_texting_CANData
72,6,339,15,2,S05_02_Movie_CANData
79,9,147,16,0,S05_02_conversation_CANData
76,7,154,17,0,S05_02_drink_CANData
75,10,147,19,0,S05_02_texting_CANData
54,3,350,43,2,S05_03_Movie_CANData
156,7,238,19,0,S05_03_NoNDRT_CANData
103,8,171,16,0,S05_03_conversation_CANData
114,15,181,30,0,S05_03_drink_CANData
133,4,133,4,0,S05_03_texting_CANData
129,19,234,33,1,S06_01_Movie_CANData
96,18,269,29,1,S06_01_NoNDRT_CANData
45,11,141,21,0,S06_01_conversation_CANData
78,17,154,23,0,S06_01_drink_CANData
62,13,139,24,0,S06_02_Movie_CANData
44,8,107,14,0,S06_02_conversation_CANData
93,19,126,24,0,S06_02_drink_CANData
51,6,81,9,0,S06_02_texting_CANData
30,3,51,6,2,S06_03_Movie_CANData
89,17,198,29,0,S06_03_NoNDRT_CANData
